BASE_DATE,ADM_CD,ADM_NM
"20220630","11010530",사직동
"20220630","11010540",삼청동
"20220630","11010550",부암동
"20220630","11010560",평창동
"20220630","11010570",무악동
"20220630","11010580",교남동
"20220630","11010600",가회동
"20220630","11010610",종로1·2·3·4가동
"20220630","11010630",종로5·6가동
"20220630","11010640",이화동
"20220630","11010670",창신1동
"20220630","11010680",창신2동
"20220630","11010690",창신3동
"20220630","11010700",숭인1동
"20220630","11010710",숭인2동
"20220630","11010720",청운효자동
"20220630","11010730",혜화동
"20220630","11020520",소공동
"20220630","11020540",회현동
"20220630","11020550",명동
"20220630","11020570",필동
"20220630","11020580",장충동
"20220630","11020590",광희동
"20220630","11020600",을지로동
"20220630","11020650",신당5동
"20220630","11020670",황학동
"20220630","11020680",중림동
"20220630","11020690",신당동
"20220630","11020700",다산동
"20220630","11020710",약수동
"20220630","11020720",청구동
"20220630","11020730",동화동
"20220630","11030510",후암동
"20220630","11030520",용산2가동
"20220630","11030530",남영동
"20220630","11030570",원효로2동
"20220630","11030580",효창동
"20220630","11030590",용문동
"20220630","11030630",이촌1동
"20220630","11030640",이촌2동
"20220630","11030650",이태원1동
"20220630","11030660",이태원2동
"20220630","11030690",서빙고동
"20220630","11030700",보광동
"20220630","11030710",청파동
"20220630","11030720",원효로1동
"20220630","11030730",한강로동
"20220630","11030740",한남동
"20220630","11040520",왕십리2동
"20220630","11040540",마장동
"20220630","11040550",사근동
"20220630","11040560",행당1동
"20220630","11040570",행당2동
"20220630","11040580",응봉동
"20220630","11040590",금호1가동
"20220630","11040620",금호4가동
"20220630","11040650",성수1가1동
"20220630","11040660",성수1가2동
"20220630","11040670",성수2가1동
"20220630","11040680",성수2가3동
"20220630","11040690",송정동
"20220630","11040700",용답동
"20220630","11040710",왕십리도선동
"20220630","11040720",금호2·3가동
"20220630","11040730",옥수동
"20220630","11050530",화양동
"20220630","11050540",군자동
"20220630","11050550",중곡1동
"20220630","11050560",중곡2동
"20220630","11050570",중곡3동
"20220630","11050580",중곡4동
"20220630","11050590",능동
"20220630","11050600",구의1동
"20220630","11050610",구의2동
"20220630","11050620",구의3동
"20220630","11050630",광장동
"20220630","11050640",자양1동
"20220630","11050650",자양2동
"20220630","11050660",자양3동
"20220630","11050670",자양4동
"20220630","11060710",회기동
"20220630","11060720",휘경1동
"20220630","11060730",휘경2동
"20220630","11060800",청량리동
"20220630","11060810",용신동
"20220630","11060820",제기동
"20220630","11060830",전농1동
"20220630","11060840",전농2동
"20220630","11060860",답십리2동
"20220630","11060870",장안1동
"20220630","11060880",장안2동
"20220630","11060890",이문1동
"20220630","11060900",이문2동
"20220630","11060910",답십리1동
"20220630","11070520",면목2동
"20220630","11070540",면목4동
"20220630","11070550",면목5동
"20220630","11070570",면목7동
"20220630","11070590",상봉1동
"20220630","11070600",상봉2동
"20220630","11070610",중화1동
"20220630","11070620",중화2동
"20220630","11070640",묵1동
"20220630","11070650",묵2동
"20220630","11070680",망우3동
"20220630","11070690",신내1동
"20220630","11070700",신내2동
"20220630","11070710",면목본동
"20220630","11070720",면목3·8동
"20220630","11070730",망우본동
"20220630","11080580",돈암1동
"20220630","11080590",돈암2동
"20220630","11080600",안암동
"20220630","11080610",보문동
"20220630","11080620",정릉1동
"20220630","11080630",정릉2동
"20220630","11080640",정릉3동
"20220630","11080650",정릉4동
"20220630","11080660",길음1동
"20220630","11080680",길음2동
"20220630","11080710",월곡1동
"20220630","11080720",월곡2동
"20220630","11080760",장위1동
"20220630","11080770",장위2동
"20220630","11080780",장위3동
"20220630","11080810",성북동
"20220630","11080820",삼선동
"20220630","11080830",동선동
"20220630","11080840",종암동
"20220630","11080850",석관동
"20220630","11090600",번1동
"20220630","11090610",번2동
"20220630","11090620",번3동
"20220630","11090630",수유1동
"20220630","11090640",수유2동
"20220630","11090650",수유3동
"20220630","11090690",삼양동
"20220630","11090700",미아동
"20220630","11090710",송중동
"20220630","11090720",송천동
"20220630","11090730",삼각산동
"20220630","11090740",우이동
"20220630","11090750",인수동
"20220630","11100510",쌍문1동
"20220630","11100520",쌍문2동
"20220630","11100530",쌍문3동
"20220630","11100540",쌍문4동
"20220630","11100550",방학1동
"20220630","11100560",방학2동
"20220630","11100570",방학3동
"20220630","11100590",창1동
"20220630","11100600",창2동
"20220630","11100610",창3동
"20220630","11100620",창4동
"20220630","11100630",창5동
"20220630","11100640",도봉1동
"20220630","11100650",도봉2동
"20220630","11110510",월계1동
"20220630","11110520",월계2동
"20220630","11110530",월계3동
"20220630","11110560",공릉2동
"20220630","11110580",하계1동
"20220630","11110590",하계2동
"20220630","11110600",중계본동
"20220630","11110610",중계1동
"20220630","11110640",중계4동
"20220630","11110650",상계1동
"20220630","11110660",상계2동
"20220630","11110690",상계5동
"20220630","11110720",상계8동
"20220630","11110730",상계9동
"20220630","11110740",상계10동
"20220630","11110760",상계3·4동
"20220630","11110770",상계6·7동
"20220630","11110780",중계2·3동
"20220630","11110790",공릉1동
"20220630","11120510",녹번동
"20220630","11120520",불광1동
"20220630","11120550",갈현1동
"20220630","11120560",갈현2동
"20220630","11120570",구산동
"20220630","11120580",대조동
"20220630","11120590",응암1동
"20220630","11120600",응암2동
"20220630","11120650",신사1동
"20220630","11120660",신사2동
"20220630","11120670",증산동
"20220630","11120680",수색동
"20220630","11120710",진관동
"20220630","11120720",불광2동
"20220630","11120730",응암3동
"20220630","11120740",역촌동
"20220630","11130520",천연동
"20220630","11130620",홍제1동
"20220630","11130640",홍제3동
"20220630","11130650",홍제2동
"20220630","11130660",홍은1동
"20220630","11130680",홍은2동
"20220630","11130690",남가좌1동
"20220630","11130700",남가좌2동
"20220630","11130710",북가좌1동
"20220630","11130720",북가좌2동
"20220630","11130730",충현동
"20220630","11130740",북아현동
"20220630","11130750",신촌동
"20220630","11130760",연희동
"20220630","11140590",용강동
"20220630","11140600",대흥동
"20220630","11140610",염리동
"20220630","11140630",신수동
"20220630","11140660",서교동
"20220630","11140680",합정동
"20220630","11140690",망원1동
"20220630","11140700",망원2동
"20220630","11140710",연남동
"20220630","11140720",성산1동
"20220630","11140730",성산2동
"20220630","11140740",상암동
"20220630","11140750",도화동
"20220630","11140760",서강동
"20220630","11140770",공덕동
"20220630","11140780",아현동
"20220630","11150510",목1동
